/usr/bin/python3.10 /home/reto/workspace/villa_availability/src/villa_availabitlity/main.py
********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
********************************
Your choice: 2
--- Show NMB data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | May 2025 | Jun 2025 |  Average |
| Villa Dolphin Drive            |     61.3 |    100.0 |     71.0 |     66.7 |      0.0 |      6.7 |     50.9 |
| Villa Dreamcatcher             |    100.0 |    100.0 |    100.0 |     23.3 |      0.0 |     53.3 |     62.8 |
| Villa Edgewater                |     77.4 |     46.4 |     83.9 |    100.0 |     87.1 |      0.0 |     65.8 |
| Villa Emerald Coast            |    100.0 |    100.0 |    100.0 |     53.3 |     22.6 |      0.0 |     62.7 |
| Villa Francabella              |     90.3 |     67.9 |     48.4 |     30.0 |      0.0 |      0.0 |     39.4 |
| Villa Garzetta                 |    100.0 |    100.0 |    100.0 |     73.3 |    100.0 |     26.7 |     83.3 |
| Villa Incredible               |     41.9 |     46.4 |     96.8 |     63.3 |      0.0 |      0.0 |     41.4 |
| Villa Isabella                 |    100.0 |    100.0 |    100.0 |    100.0 |     87.1 |      0.0 |     81.2 |
| Villa June                     |     83.9 |    100.0 |     90.3 |     13.3 |     35.5 |      0.0 |     53.8 |
| Villa La Favorita              |     58.1 |    100.0 |     96.8 |     36.7 |      0.0 |      0.0 |     48.6 |
| Villa La Palmita               |     96.8 |    100.0 |    100.0 |     76.7 |     38.7 |     40.0 |     75.4 |
| Villa Lady Elsy                |    100.0 |    100.0 |     80.6 |     60.0 |      0.0 |      0.0 |     56.8 |
| Villa Laguna                   |    100.0 |    100.0 |     93.5 |     60.0 |     64.5 |     43.3 |     76.9 |
| Villa Leonardo                 |     90.3 |     89.3 |    100.0 |     96.7 |      0.0 |      0.0 |     62.7 |
| Villa Magic Summer             |    100.0 |    100.0 |    100.0 |      3.3 |     41.9 |      0.0 |     57.5 |
| Villa Majadama                 |    100.0 |    100.0 |    100.0 |     13.3 |     54.8 |      0.0 |     61.4 |
| Villa Malibu                   |     48.4 |     75.0 |     80.6 |     83.3 |      9.7 |      0.0 |     49.5 |
| Villa Manatee                  |    100.0 |    100.0 |    100.0 |     70.0 |     19.4 |     53.3 |     73.8 |
| Villa Montclaire               |     77.4 |     75.0 |     71.0 |     46.7 |    100.0 |     33.3 |     67.2 |
| Villa Napura                   |    100.0 |    100.0 |     58.1 |     23.3 |      0.0 |      0.0 |     46.9 |
| Villa Oasis                    |    100.0 |     78.6 |    100.0 |     16.7 |      0.0 |      0.0 |     49.2 |
| Villa Odyssey                  |     32.3 |     57.1 |     45.2 |     23.3 |      0.0 |     53.3 |     35.2 |
| Villa Pearl of Paradise        |     35.5 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      5.9 |
